Epochs,Accuracy,F1-score,Loss,Categorical Accuracy,Precision,Recall,Conf Matrix,Classification Report,Precision (OOD),Recall (OOD),Conf Matrix (OOD),Classification Report (OOD)
100,0.2777777777777778,0.2439961507629129,1.6065386533737183,0.2846153974533081,0.29940800486922775,0.2777777777777778,"[[ 8 19  9  0  0]
 [ 5 16  8  0  1]
 [ 0 13 15  0  2]
 [ 7 22  7  0  0]
 [ 3 17  4  0  6]]","{'0': {'precision': 0.34782608695652173, 'recall': 0.2222222222222222, 'f1-score': 0.2711864406779661, 'support': 36.0}, '1': {'precision': 0.1839080459770115, 'recall': 0.5333333333333333, 'f1-score': 0.27350427350427353, 'support': 30.0}, '2': {'precision': 0.3488372093023256, 'recall': 0.5, 'f1-score': 0.4109589041095891, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 36.0}, '4': {'precision': 0.6666666666666666, 'recall': 0.2, 'f1-score': 0.30769230769230765, 'support': 30.0}, 'accuracy': 0.2777777777777778, 'macro avg': {'precision': 0.3094476017805051, 'recall': 0.2911111111111111, 'f1-score': 0.2526683851968273, 'support': 162.0}, 'weighted avg': {'precision': 0.29940800486922775, 'recall': 0.2777777777777778, 'f1-score': 0.2439961507629129, 'support': 162.0}}",0.1937206572769953,0.2733333333333333,"[[ 2 13  9  0  6]
 [ 3 17  9  0  1]
 [ 1  3 19  1  6]
 [ 6 22  0  0  2]
 [ 0 16 11  0  3]]","{'0': {'precision': 0.16666666666666666, 'recall': 0.06666666666666667, 'f1-score': 0.09523809523809522, 'support': 30.0}, '1': {'precision': 0.23943661971830985, 'recall': 0.5666666666666667, 'f1-score': 0.3366336633663366, 'support': 30.0}, '2': {'precision': 0.3958333333333333, 'recall': 0.6333333333333333, 'f1-score': 0.4871794871794872, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '4': {'precision': 0.16666666666666666, 'recall': 0.1, 'f1-score': 0.125, 'support': 30.0}, 'accuracy': 0.2733333333333333, 'macro avg': {'precision': 0.19372065727699528, 'recall': 0.2733333333333333, 'f1-score': 0.2088102491567838, 'support': 150.0}, 'weighted avg': {'precision': 0.1937206572769953, 'recall': 0.2733333333333333, 'f1-score': 0.2088102491567838, 'support': 150.0}}"
100,0.19135802469135801,0.14831416782636292,1.8201135396957397,0.20769231021404266,0.13211669019291525,0.19135802469135801,"[[12  0  6 14  4]
 [18  0  0  7  5]
 [ 0  0  0 28  2]
 [ 6  0  6 17  7]
 [ 2  0  5 21  2]]","{'0': {'precision': 0.3157894736842105, 'recall': 0.3333333333333333, 'f1-score': 0.3243243243243243, 'support': 36.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.19540229885057472, 'recall': 0.4722222222222222, 'f1-score': 0.2764227642276423, 'support': 36.0}, '4': {'precision': 0.1, 'recall': 0.06666666666666667, 'f1-score': 0.08, 'support': 30.0}, 'accuracy': 0.19135802469135801, 'macro avg': {'precision': 0.12223835450695704, 'recall': 0.17444444444444446, 'f1-score': 0.1361494177103933, 'support': 162.0}, 'weighted avg': {'precision': 0.13211669019291525, 'recall': 0.19135802469135801, 'f1-score': 0.14831416782636292, 'support': 162.0}}",0.12263757115749527,0.15333333333333332,"[[16  0  6  5  3]
 [22  0  0  7  1]
 [ 0  0  5 24  1]
 [12  0 11  1  6]
 [ 1  0  3 25  1]]","{'0': {'precision': 0.3137254901960784, 'recall': 0.5333333333333333, 'f1-score': 0.3950617283950617, 'support': 30.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.2, 'recall': 0.16666666666666666, 'f1-score': 0.1818181818181818, 'support': 30.0}, '3': {'precision': 0.016129032258064516, 'recall': 0.03333333333333333, 'f1-score': 0.021739130434782608, 'support': 30.0}, '4': {'precision': 0.08333333333333333, 'recall': 0.03333333333333333, 'f1-score': 0.04761904761904761, 'support': 30.0}, 'accuracy': 0.15333333333333332, 'macro avg': {'precision': 0.12263757115749525, 'recall': 0.15333333333333332, 'f1-score': 0.12924761765341472, 'support': 150.0}, 'weighted avg': {'precision': 0.12263757115749527, 'recall': 0.15333333333333332, 'f1-score': 0.12924761765341472, 'support': 150.0}}"
100,0.25308641975308643,0.2016002564714771,1.8025639057159424,0.2538461685180664,0.1708801205810179,0.25308641975308643,"[[ 2  8  1 15 10]
 [ 8 13  1  7  1]
 [13 10  0  3  4]
 [ 5  5  0 25  1]
 [12  8  0  9  1]]","{'0': {'precision': 0.05, 'recall': 0.05555555555555555, 'f1-score': 0.052631578947368425, 'support': 36.0}, '1': {'precision': 0.29545454545454547, 'recall': 0.43333333333333335, 'f1-score': 0.3513513513513514, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.423728813559322, 'recall': 0.6944444444444444, 'f1-score': 0.5263157894736842, 'support': 36.0}, '4': {'precision': 0.058823529411764705, 'recall': 0.03333333333333333, 'f1-score': 0.0425531914893617, 'support': 30.0}, 'accuracy': 0.25308641975308643, 'macro avg': {'precision': 0.16560137768512645, 'recall': 0.24333333333333335, 'f1-score': 0.19457038225235312, 'support': 162.0}, 'weighted avg': {'precision': 0.1708801205810179, 'recall': 0.25308641975308643, 'f1-score': 0.2016002564714771, 'support': 162.0}}",0.25838779956427016,0.2866666666666667,"[[15  5  1  6  3]
 [ 6 10  0 14  0]
 [ 4  6  0 10 10]
 [ 0 11  0  8 11]
 [ 2  2  0 16 10]]","{'0': {'precision': 0.5555555555555556, 'recall': 0.5, 'f1-score': 0.5263157894736842, 'support': 30.0}, '1': {'precision': 0.29411764705882354, 'recall': 0.3333333333333333, 'f1-score': 0.3125, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.14814814814814814, 'recall': 0.26666666666666666, 'f1-score': 0.19047619047619047, 'support': 30.0}, '4': {'precision': 0.29411764705882354, 'recall': 0.3333333333333333, 'f1-score': 0.3125, 'support': 30.0}, 'accuracy': 0.2866666666666667, 'macro avg': {'precision': 0.25838779956427016, 'recall': 0.2866666666666666, 'f1-score': 0.26835839598997496, 'support': 150.0}, 'weighted avg': {'precision': 0.25838779956427016, 'recall': 0.2866666666666667, 'f1-score': 0.26835839598997496, 'support': 150.0}}"
150,0.30246913580246915,0.2344026593312159,1.5280570983886719,0.3384615480899811,0.39857343241710697,0.30246913580246915,"[[ 2 16  3 14  1]
 [ 0 24  3  3  0]
 [ 0 15 12  2  1]
 [ 0  5 20 11  0]
 [ 0 13 13  4  0]]","{'0': {'precision': 1.0, 'recall': 0.05555555555555555, 'f1-score': 0.10526315789473684, 'support': 36.0}, '1': {'precision': 0.3287671232876712, 'recall': 0.8, 'f1-score': 0.4660194174757281, 'support': 30.0}, '2': {'precision': 0.23529411764705882, 'recall': 0.4, 'f1-score': 0.29629629629629634, 'support': 30.0}, '3': {'precision': 0.3235294117647059, 'recall': 0.3055555555555556, 'f1-score': 0.31428571428571433, 'support': 36.0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, 'accuracy': 0.30246913580246915, 'macro avg': {'precision': 0.3775181305398872, 'recall': 0.31222222222222223, 'f1-score': 0.23637291719049508, 'support': 162.0}, 'weighted avg': {'precision': 0.39857343241710697, 'recall': 0.30246913580246915, 'f1-score': 0.2344026593312159, 'support': 162.0}}",0.04642375168690959,0.14666666666666667,"[[ 0 23  3  3  1]
 [ 0 21  7  2  0]
 [ 1 23  1  5  0]
 [ 0 30  0  0  0]
 [ 0 20  8  2  0]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '1': {'precision': 0.1794871794871795, 'recall': 0.7, 'f1-score': 0.2857142857142857, 'support': 30.0}, '2': {'precision': 0.05263157894736842, 'recall': 0.03333333333333333, 'f1-score': 0.04081632653061225, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, 'accuracy': 0.14666666666666667, 'macro avg': {'precision': 0.046423751686909584, 'recall': 0.14666666666666667, 'f1-score': 0.06530612244897958, 'support': 150.0}, 'weighted avg': {'precision': 0.04642375168690959, 'recall': 0.14666666666666667, 'f1-score': 0.0653061224489796, 'support': 150.0}}"
150,0.18518518518518517,0.10975501495379171,1.640834927558899,0.20000000298023224,0.28944916161668777,0.18518518518518517,"[[ 0  0 17  0 19]
 [ 0  0 24  0  6]
 [ 0  0 16  0 14]
 [ 1  0  5  1 29]
 [ 0  0 17  0 13]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 36.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.20253164556962025, 'recall': 0.5333333333333333, 'f1-score': 0.29357798165137616, 'support': 30.0}, '3': {'precision': 1.0, 'recall': 0.027777777777777776, 'f1-score': 0.05405405405405406, 'support': 36.0}, '4': {'precision': 0.16049382716049382, 'recall': 0.43333333333333335, 'f1-score': 0.2342342342342342, 'support': 30.0}, 'accuracy': 0.18518518518518517, 'macro avg': {'precision': 0.27260509454602283, 'recall': 0.1988888888888889, 'f1-score': 0.11637325398793288, 'support': 162.0}, 'weighted avg': {'precision': 0.28944916161668777, 'recall': 0.18518518518518517, 'f1-score': 0.10975501495379171, 'support': 162.0}}",0.07333105100992811,0.22,"[[ 0  0 25  0  5]
 [ 0  0 27  0  3]
 [ 0  0 30  0  0]
 [ 0  0 18  0 12]
 [ 0  0 27  0  3]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.23622047244094488, 'recall': 1.0, 'f1-score': 0.38216560509554137, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '4': {'precision': 0.13043478260869565, 'recall': 0.1, 'f1-score': 0.11320754716981132, 'support': 30.0}, 'accuracy': 0.22, 'macro avg': {'precision': 0.07333105100992811, 'recall': 0.22000000000000003, 'f1-score': 0.09907463045307055, 'support': 150.0}, 'weighted avg': {'precision': 0.07333105100992811, 'recall': 0.22, 'f1-score': 0.09907463045307054, 'support': 150.0}}"
150,0.2716049382716049,0.21902852049910873,1.6268075704574585,0.2846153974533081,0.21265432098765433,0.2716049382716049,"[[10  1 18  0  7]
 [ 2  2 23  0  3]
 [ 1  0 15  0 14]
 [16  0 11  0  9]
 [ 1  7  5  0 17]]","{'0': {'precision': 0.3333333333333333, 'recall': 0.2777777777777778, 'f1-score': 0.303030303030303, 'support': 36.0}, '1': {'precision': 0.2, 'recall': 0.06666666666666667, 'f1-score': 0.1, 'support': 30.0}, '2': {'precision': 0.20833333333333334, 'recall': 0.5, 'f1-score': 0.29411764705882354, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 36.0}, '4': {'precision': 0.34, 'recall': 0.5666666666666667, 'f1-score': 0.425, 'support': 30.0}, 'accuracy': 0.2716049382716049, 'macro avg': {'precision': 0.21633333333333335, 'recall': 0.2822222222222222, 'f1-score': 0.2244295900178253, 'support': 162.0}, 'weighted avg': {'precision': 0.21265432098765433, 'recall': 0.2716049382716049, 'f1-score': 0.21902852049910873, 'support': 162.0}}",0.10261904761904762,0.21333333333333335,"[[ 0  0 26  0  4]
 [ 1  0 23  0  6]
 [ 0  0 23  0  7]
 [ 0  0 28  0  2]
 [ 1  0 20  0  9]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.19166666666666668, 'recall': 0.7666666666666667, 'f1-score': 0.3066666666666667, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '4': {'precision': 0.32142857142857145, 'recall': 0.3, 'f1-score': 0.3103448275862069, 'support': 30.0}, 'accuracy': 0.21333333333333335, 'macro avg': {'precision': 0.10261904761904764, 'recall': 0.21333333333333332, 'f1-score': 0.12340229885057472, 'support': 150.0}, 'weighted avg': {'precision': 0.10261904761904762, 'recall': 0.21333333333333335, 'f1-score': 0.12340229885057473, 'support': 150.0}}"
200,0.20987654320987653,0.18247693820658492,1.9505943059921265,0.2461538463830948,0.23644462533351418,0.20987654320987653,"[[ 1 18  0  0 17]
 [ 0 11  0  0 19]
 [ 2 12  0  2 14]
 [ 1 19  0  9  7]
 [10  3  2  2 13]]","{'0': {'precision': 0.07142857142857142, 'recall': 0.027777777777777776, 'f1-score': 0.04, 'support': 36.0}, '1': {'precision': 0.1746031746031746, 'recall': 0.36666666666666664, 'f1-score': 0.2365591397849462, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.6923076923076923, 'recall': 0.25, 'f1-score': 0.3673469387755102, 'support': 36.0}, '4': {'precision': 0.18571428571428572, 'recall': 0.43333333333333335, 'f1-score': 0.26, 'support': 30.0}, 'accuracy': 0.20987654320987653, 'macro avg': {'precision': 0.2248107448107448, 'recall': 0.21555555555555556, 'f1-score': 0.1807812157120913, 'support': 162.0}, 'weighted avg': {'precision': 0.23644462533351418, 'recall': 0.20987654320987653, 'f1-score': 0.18247693820658492, 'support': 162.0}}",0.27556935817805384,0.20666666666666667,"[[ 0  5  0  6 19]
 [ 1  9  1  5 14]
 [ 9  9  2  0 10]
 [ 0  0  0 12 18]
 [12  4  1  5  8]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '1': {'precision': 0.3333333333333333, 'recall': 0.3, 'f1-score': 0.3157894736842105, 'support': 30.0}, '2': {'precision': 0.5, 'recall': 0.06666666666666667, 'f1-score': 0.11764705882352941, 'support': 30.0}, '3': {'precision': 0.42857142857142855, 'recall': 0.4, 'f1-score': 0.4137931034482759, 'support': 30.0}, '4': {'precision': 0.11594202898550725, 'recall': 0.26666666666666666, 'f1-score': 0.1616161616161616, 'support': 30.0}, 'accuracy': 0.20666666666666667, 'macro avg': {'precision': 0.27556935817805384, 'recall': 0.20666666666666664, 'f1-score': 0.20176915951443547, 'support': 150.0}, 'weighted avg': {'precision': 0.27556935817805384, 'recall': 0.20666666666666667, 'f1-score': 0.2017691595144355, 'support': 150.0}}"
200,0.16049382716049382,0.14678130511463844,1.7152683734893799,0.1538461595773697,0.1473008956669087,0.16049382716049382,"[[ 5  6 21  0  4]
 [ 3  4 17  0  6]
 [ 6 11  0  1 12]
 [ 2  5 23  0  6]
 [ 4  8  0  1 17]]","{'0': {'precision': 0.25, 'recall': 0.1388888888888889, 'f1-score': 0.17857142857142858, 'support': 36.0}, '1': {'precision': 0.11764705882352941, 'recall': 0.13333333333333333, 'f1-score': 0.125, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 36.0}, '4': {'precision': 0.37777777777777777, 'recall': 0.5666666666666667, 'f1-score': 0.4533333333333333, 'support': 30.0}, 'accuracy': 0.16049382716049382, 'macro avg': {'precision': 0.14908496732026144, 'recall': 0.16777777777777778, 'f1-score': 0.1513809523809524, 'support': 162.0}, 'weighted avg': {'precision': 0.1473008956669087, 'recall': 0.16049382716049382, 'f1-score': 0.14678130511463844, 'support': 162.0}}",0.16624040920716113,0.19333333333333333,"[[ 3 10  5  3  9]
 [ 2  8 16  3  1]
 [10  3  0  2 15]
 [ 5  0 17  0  8]
 [ 3  2  0  7 18]]","{'0': {'precision': 0.13043478260869565, 'recall': 0.1, 'f1-score': 0.11320754716981132, 'support': 30.0}, '1': {'precision': 0.34782608695652173, 'recall': 0.26666666666666666, 'f1-score': 0.30188679245283023, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '4': {'precision': 0.35294117647058826, 'recall': 0.6, 'f1-score': 0.4444444444444445, 'support': 30.0}, 'accuracy': 0.19333333333333333, 'macro avg': {'precision': 0.16624040920716113, 'recall': 0.19333333333333333, 'f1-score': 0.17190775681341722, 'support': 150.0}, 'weighted avg': {'precision': 0.16624040920716113, 'recall': 0.19333333333333333, 'f1-score': 0.1719077568134172, 'support': 150.0}}"
200,0.32098765432098764,0.2725473716284615,1.4597152471542358,0.3384615480899811,0.273298757199686,0.32098765432098764,"[[17  0 11  1  7]
 [16  0  1  4  9]
 [ 3  6 18  1  2]
 [20  0 11  3  2]
 [ 1  3 11  1 14]]","{'0': {'precision': 0.2982456140350877, 'recall': 0.4722222222222222, 'f1-score': 0.3655913978494624, 'support': 36.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.34615384615384615, 'recall': 0.6, 'f1-score': 0.43902439024390244, 'support': 30.0}, '3': {'precision': 0.3, 'recall': 0.08333333333333333, 'f1-score': 0.13043478260869565, 'support': 36.0}, '4': {'precision': 0.4117647058823529, 'recall': 0.4666666666666667, 'f1-score': 0.43749999999999994, 'support': 30.0}, 'accuracy': 0.32098765432098764, 'macro avg': {'precision': 0.27123283321425734, 'recall': 0.3244444444444444, 'f1-score': 0.2745101141404121, 'support': 162.0}, 'weighted avg': {'precision': 0.273298757199686, 'recall': 0.32098765432098764, 'f1-score': 0.2725473716284615, 'support': 162.0}}",0.2670776732845698,0.25333333333333335,"[[19  4  6  0  1]
 [20  1  5  1  3]
 [ 7  7 15  0  1]
 [15  0 12  1  2]
 [ 5  3 20  0  2]]","{'0': {'precision': 0.2878787878787879, 'recall': 0.6333333333333333, 'f1-score': 0.39583333333333337, 'support': 30.0}, '1': {'precision': 0.06666666666666667, 'recall': 0.03333333333333333, 'f1-score': 0.04444444444444444, 'support': 30.0}, '2': {'precision': 0.25862068965517243, 'recall': 0.5, 'f1-score': 0.34090909090909094, 'support': 30.0}, '3': {'precision': 0.5, 'recall': 0.03333333333333333, 'f1-score': 0.0625, 'support': 30.0}, '4': {'precision': 0.2222222222222222, 'recall': 0.06666666666666667, 'f1-score': 0.10256410256410256, 'support': 30.0}, 'accuracy': 0.25333333333333335, 'macro avg': {'precision': 0.2670776732845699, 'recall': 0.2533333333333333, 'f1-score': 0.18925019425019426, 'support': 150.0}, 'weighted avg': {'precision': 0.2670776732845698, 'recall': 0.25333333333333335, 'f1-score': 0.18925019425019426, 'support': 150.0}}"
250,0.30864197530864196,0.20951889480191369,1.4989523887634277,0.3461538553237915,0.17166179337231968,0.30864197530864196,"[[26  0  4  4  2]
 [10  0 14  6  0]
 [ 1  0 22  3  4]
 [27  0  7  2  0]
 [ 0  0 29  1  0]]","{'0': {'precision': 0.40625, 'recall': 0.7222222222222222, 'f1-score': 0.52, 'support': 36.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.2894736842105263, 'recall': 0.7333333333333333, 'f1-score': 0.4150943396226416, 'support': 30.0}, '3': {'precision': 0.125, 'recall': 0.05555555555555555, 'f1-score': 0.07692307692307691, 'support': 36.0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, 'accuracy': 0.30864197530864196, 'macro avg': {'precision': 0.16414473684210526, 'recall': 0.3022222222222222, 'f1-score': 0.2024034833091437, 'support': 162.0}, 'weighted avg': {'precision': 0.17166179337231968, 'recall': 0.30864197530864196, 'f1-score': 0.20951889480191369, 'support': 162.0}}",0.1089969604863222,0.20666666666666667,"[[12  0 13  2  3]
 [13  0 13  2  2]
 [ 1  1 19  8  1]
 [ 9  0 21  0  0]
 [ 0  0 28  2  0]]","{'0': {'precision': 0.34285714285714286, 'recall': 0.4, 'f1-score': 0.36923076923076925, 'support': 30.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.20212765957446807, 'recall': 0.6333333333333333, 'f1-score': 0.3064516129032258, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, 'accuracy': 0.20666666666666667, 'macro avg': {'precision': 0.1089969604863222, 'recall': 0.20666666666666664, 'f1-score': 0.135136476426799, 'support': 150.0}, 'weighted avg': {'precision': 0.1089969604863222, 'recall': 0.20666666666666667, 'f1-score': 0.135136476426799, 'support': 150.0}}"
250,0.2654320987654321,0.21932189770408533,1.4544357061386108,0.26923078298568726,0.26742935945063606,0.2654320987654321,"[[13  1 15  6  1]
 [ 3  1 26  0  0]
 [ 1  2 21  4  2]
 [17  0 12  7  0]
 [ 1  4 20  4  1]]","{'0': {'precision': 0.37142857142857144, 'recall': 0.3611111111111111, 'f1-score': 0.3661971830985915, 'support': 36.0}, '1': {'precision': 0.125, 'recall': 0.03333333333333333, 'f1-score': 0.052631578947368425, 'support': 30.0}, '2': {'precision': 0.22340425531914893, 'recall': 0.7, 'f1-score': 0.3387096774193548, 'support': 30.0}, '3': {'precision': 0.3333333333333333, 'recall': 0.19444444444444445, 'f1-score': 0.24561403508771928, 'support': 36.0}, '4': {'precision': 0.25, 'recall': 0.03333333333333333, 'f1-score': 0.058823529411764705, 'support': 30.0}, 'accuracy': 0.2654320987654321, 'macro avg': {'precision': 0.2606332320162107, 'recall': 0.2644444444444444, 'f1-score': 0.21239520079295976, 'support': 162.0}, 'weighted avg': {'precision': 0.26742935945063606, 'recall': 0.2654320987654321, 'f1-score': 0.21932189770408533, 'support': 162.0}}",0.18741935483870967,0.14,"[[ 4  0 26  0  0]
 [ 1  0 28  1  0]
 [ 0  1 17 12  0]
 [ 0  5 25  0  0]
 [ 0  2 28  0  0]]","{'0': {'precision': 0.8, 'recall': 0.13333333333333333, 'f1-score': 0.2285714285714286, 'support': 30.0}, '1': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '2': {'precision': 0.13709677419354838, 'recall': 0.5666666666666667, 'f1-score': 0.22077922077922077, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '4': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, 'accuracy': 0.14, 'macro avg': {'precision': 0.1874193548387097, 'recall': 0.13999999999999999, 'f1-score': 0.08987012987012988, 'support': 150.0}, 'weighted avg': {'precision': 0.18741935483870967, 'recall': 0.14, 'f1-score': 0.08987012987012986, 'support': 150.0}}"
250,0.19753086419753085,0.14419753086419754,1.6273581981658936,0.2230769246816635,0.12060778727445395,0.19753086419753085,"[[ 6  2  5  3 20]
 [12  5 10  1  2]
 [ 0 15  0  0 15]
 [20  0  4  0 12]
 [ 1  8  0  0 21]]","{'0': {'precision': 0.15384615384615385, 'recall': 0.16666666666666666, 'f1-score': 0.16, 'support': 36.0}, '1': {'precision': 0.16666666666666666, 'recall': 0.16666666666666666, 'f1-score': 0.16666666666666666, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 36.0}, '4': {'precision': 0.3, 'recall': 0.7, 'f1-score': 0.42, 'support': 30.0}, 'accuracy': 0.19753086419753085, 'macro avg': {'precision': 0.12410256410256411, 'recall': 0.20666666666666664, 'f1-score': 0.14933333333333332, 'support': 162.0}, 'weighted avg': {'precision': 0.12060778727445395, 'recall': 0.19753086419753085, 'f1-score': 0.14419753086419754, 'support': 162.0}}",0.10069547938400397,0.21333333333333335,"[[ 0  1  0  5 24]
 [ 3  1  3  5 18]
 [ 0  4  0  0 26]
 [ 0  0  5  1 24]
 [ 0  0  0  0 30]]","{'0': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '1': {'precision': 0.16666666666666666, 'recall': 0.03333333333333333, 'f1-score': 0.05555555555555555, 'support': 30.0}, '2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 30.0}, '3': {'precision': 0.09090909090909091, 'recall': 0.03333333333333333, 'f1-score': 0.04878048780487805, 'support': 30.0}, '4': {'precision': 0.2459016393442623, 'recall': 1.0, 'f1-score': 0.3947368421052631, 'support': 30.0}, 'accuracy': 0.21333333333333335, 'macro avg': {'precision': 0.10069547938400399, 'recall': 0.21333333333333332, 'f1-score': 0.09981457709313935, 'support': 150.0}, 'weighted avg': {'precision': 0.10069547938400397, 'recall': 0.21333333333333335, 'f1-score': 0.09981457709313935, 'support': 150.0}}"
